Florida Fish And Wildlife Conservation Commission,,,,,,
Commercial Landings Summary,,,,,,
Years: 1985 - 2026,,,,,,
Species: ALL FOOD AND BAIT,,,,,,
Subject to Revision,,,,,,
Years before 2025 are final,,,,,,
"Report created: July 13, 2026",,,,,,
,,,,,,
,,,,,,
Year,County Landed,Species,Pounds,Trips,Average Price,Estimated Value
1985,INDIAN RIVER,"MULLET, BLACK",162191,370,0.28,45796
1985,INDIAN RIVER,"MULLET, SILVER",26365,273,0.3,7910
1985,INDIAN RIVER,PERMIT,1367,57,0.55,752
1985,INDIAN RIVER,POMPANO,17314,472,3.24,56097
1985,INDIAN RIVER,SAND PERCH (SERRANIDAE),1511,15,0.39,589
1985,INDIAN RIVER,"SCAD, ROUND (CIGARFISH)",34,1,,0
1985,INDIAN RIVER,"SEA BASS, MIXED",2516,125,0.53,1322
1985,INDIAN RIVER,"SEATROUT, SAND",1631,27,0.66,1076
1985,INDIAN RIVER,"SEATROUT, SILVER",44,3,0.25,11
1985,INDIAN RIVER,"SEATROUT, SPOTTED",67449,1690,0.96,64751
1985,INDIAN RIVER,"SEATROUT, WEAKFISH",11254,509,0.65,7315
1985,INDIAN RIVER,SHARK,42730,52,0.27,11374
1985,INDIAN RIVER,SHEEPSHEAD,15065,327,0.49,7382
1985,INDIAN RIVER,"SNAPPER, GREY (MANGROVE)",1375,131,1.18,1623
1985,INDIAN RIVER,"SNAPPER, LANE",18,4,0.68,12
1985,INDIAN RIVER,"SNAPPER, MIXED",746,9,1.59,1189
1985,INDIAN RIVER,"SNAPPER, MUTTON",1009,15,1.45,1463
1985,INDIAN RIVER,"SNAPPER, OTHER",4308,40,1.2,5162
1985,INDIAN RIVER,"SNAPPER, RED",8151,254,2.1,17109
1985,INDIAN RIVER,"SNAPPER, VERMILION",259,7,1.3,336
1985,INDIAN RIVER,"SNAPPER, YELLOWTAIL",1,1,1.42,2
1985,INDIAN RIVER,SPOT,366858,1778,0.4,146743
1985,INDIAN RIVER,SWORDFISH,386,2,2.91,1122
1985,INDIAN RIVER,TILEFISH (GOLDEN),89179,60,1.15,102715
1985,INDIAN RIVER,"TILEFISH, BLUELINE (GRAY)",3191,36,0.71,2251
1985,INDIAN RIVER,TRIGGERFISH,594,31,0.64,383
1985,INDIAN RIVER,"TUNA, BLACKFIN",171,5,0.78,133
1985,INDIAN RIVER,"TUNA, BLUEFIN",91,3,0.4,37
1985,INDIAN RIVER,WAHOO,643,17,0.95,612
1985,INDIAN RIVER,"CLAMS, HARD, CHERRY",6804,780,1.14,7776
1985,INDIAN RIVER,"CLAMS, HARD, CHOWDER",1468,358,0.6,881
1985,INDIAN RIVER,"CLAMS, HARD, LITTLENECK",13,3,,0
1985,INDIAN RIVER,"CLAMS, HARD, MIDDLENECK",15488,964,6.86,106230
1985,INDIAN RIVER,"CLAMS, HARD, TOPNECK",7,2,,0
1985,INDIAN RIVER,"CLAMS, HARD, UNGRADED",33541,211,8.06,270492
1985,INDIAN RIVER,"CLAMS, SUNRAY VENUS",2764,11,0.1,276
1985,INDIAN RIVER,"CRAB, BLUE (HARD)",30014,161,0.35,10505
1985,INDIAN RIVER,"CRAB, STONE, UNGRD CLAWS",23,1,4.08,94
1985,INDIAN RIVER,"LOBSTER, SPINY",417,12,2.39,997
1985,INDIAN RIVER,OYSTERS,1037,38,1.12,1164
1985,INDIAN RIVER,"SHRIMP, BROWN",32,1,2.33,75
1985,Inland/Out-of-State,AMBERJACKS,34445,49,0.22,7618
1985,Inland/Out-of-State,BLUEFISH,13,1,0.17,2
1985,Inland/Out-of-State,COBIA,2417,19,0.78,1882
1985,Inland/Out-of-State,CROAKER,190,8,0.39,74
1985,Inland/Out-of-State,DOLPHIN,986,16,0.78,764
1985,Inland/Out-of-State,"DRUM, RED (REDFISH)",381,9,0.64,244
1985,Inland/Out-of-State,FLOUNDERS,4659,13,1.13,5265
1985,Inland/Out-of-State,"GROUPER, BLACK",20622,28,1.43,29534
1985,Inland/Out-of-State,"GROUPER, GAG",4765,21,1.35,6420
1985,Inland/Out-of-State,"GROUPER, GOLIATH",65,1,0.67,43
1985,Inland/Out-of-State,"GROUPER, MIXED",13646,34,1.16,15843
1985,Inland/Out-of-State,"GROUPER, RED",2408,20,1.17,2817
1985,Inland/Out-of-State,"GROUPER, SCAMP",9031,54,1.5,13546
1985,Inland/Out-of-State,"GROUPER, WARSAW",3254,13,0.71,2317
1985,Inland/Out-of-State,"GROUPER, YELLOWEDGE",139,1,1.31,183
1985,Inland/Out-of-State,"GROUPER, YELLOWFIN",48772,32,1.27,61998
1985,Inland/Out-of-State,GRUNTS,466,10,0.41,191
1985,Inland/Out-of-State,"JACK, OTHER",33,1,0.14,5
1985,Inland/Out-of-State,KINGFISH (WHITING),159,2,0.43,68
1985,Inland/Out-of-State,"MACKEREL, KING",622,10,1.09,676
1985,Inland/Out-of-State,"MACKEREL, SPANISH",47,1,0.29,14
1985,Inland/Out-of-State,"MARLIN, WHITE",45,1,0.46,21
1985,Inland/Out-of-State,MISC. FOOD FISH,1763,26,0.3,529
1985,Inland/Out-of-State,MISC. INDUSTRIAL FISH,8,1,0.3,2
1985,Inland/Out-of-State,"MULLET, BLACK",30167,63,0.31,9385
1985,Inland/Out-of-State,"MULLET, SILVER",8524,18,0.3,2557
1985,Inland/Out-of-State,POMPANO,28,7,3.24,91
1985,Inland/Out-of-State,PORGIES,14483,43,0.69,10047
1985,Inland/Out-of-State,"SEATROUT, SAND",18,1,0.66,12
1985,Inland/Out-of-State,"SEATROUT, SPOTTED",2371,22,0.96,2276
1985,Inland/Out-of-State,SHARK,8343,21,0.27,2221
1985,Inland/Out-of-State,SHEEPSHEAD,5,1,0.49,2
1985,Inland/Out-of-State,"SNAPPER, GREY (MANGROVE)",497,14,1.18,587
1985,Inland/Out-of-State,"SNAPPER, MIXED",724,16,1.59,1154
1985,Inland/Out-of-State,"SNAPPER, MUTTON",63,1,1.45,92
1985,Inland/Out-of-State,"SNAPPER, OTHER",367,3,1.2,440
1985,Inland/Out-of-State,"SNAPPER, RED",37285,64,2.1,78265
